Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
Ultra Twister (Nagashima Spa Land),Nagashima Spa Land,Operating,TOGO,1984,1989-01-01,
La Vibora,Other,,Intamin,1984,,32.0
XLR-8,Six Flags AstroWorld,Removed,Arrow Dynamics,1984,1984-05-12,34.1
The Bush Beast,Wonderland Sydney,Removed,Taft Broadcasting,1985,1985-12-07,55.9
Disaster Transport,Cedar Point,Removed,Intamin,1985,1985-01-01,40.0
Flashback (Six Flags Magic Mountain),Other,,Intamin,1985,,35.0
Freestyle (roller coaster),Other,,TOGO,1985,,51.0
Kikkerachtbaan,Duinrell,Operating,Zierer,1985,1985-01-01,22.4
Klondike Gold Mine (roller coaster),Other,,Pinfari,1985,,
Shaman (roller coaster),Gardaland,Operating,Vekoma,1985,1985-01-01,43.5
Mindbender (Galaxyland),Galaxyland,closed for maintenance as of july 30 no reopening date known,Anton Schwarzkopf,1985,1985-12-20,60.0
Le Monstre,Other,Operating,Martin & Vleminckx,1985,1985-07-20,59.7
Phoenix (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,1985,1985-06-15,45.0
Steel First,Other,,Allan Herschell Company,1985,1985-01-01,
Swiss Bob,Efteling,Removed,Intamin,1985,1985-04-04,37.3
Texas Tornado (roller coaster),Wonderland Park (Texas),Operating,Hopkins Rides,1985,1985-01-01,
The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",,,1985,,
Wild Mouse (Idlewild),Idlewild and Soak Zone,Operating,Vekoma,1985,1985-01-01,30.0
Eureka Mountain Mine Ride,Dreamworld,Removed,HyFab,1986,1986-12-11,29.8
The Grizzly,California's Great America,Operating,Kings Island,1986,1986-01-01,55.0
Shockwave (Kings Dominion),Kings Dominion,Removed,TOGO,1986,1986-03-23,50.0
Silver Bullet (Frontier City),Other,,Anton Schwarzkopf,1986,,47.8
Ultra Twister (Six Flags),Other,,TOGO,1986,,44.0
The Bat (Canada's Wonderland),Other,,,1987,,
Big Thunder Mountain Railroad (Tokyo Disneyland),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1987,,35.0
Canobie Corkscrew,Canobie Lake Park,Removed,Arrow Development,1987,1975-01-01,45.0
Dreamcatcher (roller coaster),Bobbejaanland,Operating,Vekoma,1987,1987-01-01,
Iron Dragon (roller coaster),Cedar Point,Operating,Arrow Dynamics,1987,1987-06-11,40.0
Knightmare (Camelot),Other,Removed,Zierer,1987,,40.0
Lisebergbanan,Liseberg,Operating,Zierer,1987,1987-04-18,49.7
Raptor Attack,Lightwater Valley,Closed in 2021,Anton Schwarzkopf,1987,1987-04-02,40.0
Runaway Train (roller coaster),Chessington World of Adventures,Operating,Mack Rides,1987,1987-06-07,22.4
Scorpion Express,Chessington World of Adventures,Operating,Mack Rides,1987,1987-06-07,22.4
Skyliner (roller coaster),Other,,Philadelphia Toboggan Coasters,1987,,40.0
Vortex (Kings Island),Kings Island,Removed,Arrow Dynamics,1987,1987-04-11,55.0
Woodstock's Express (California's Great America),Other,,Intamin,1987,,
Avalanche (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Mack Rides,1988,1988-06-22,45.0
Avalanche (Kings Dominion),Kings Dominion,Closed,Mack Rides,1988,1988-03-26,41.0
Bandit (Yomiuriland),Yomiuriland,Operating,TOGO,1988,1988-03-01,68.3
Beast (Alton Towers),"Alton, Staffordshire, England",,,1988,,
Boomerang (Six Flags México),Other,,Vekoma,1988,,47.0
Cobra (La Ronde),Other,,Intamin,1988,,48.0
Crazy Bats,Phantasialand,Operating,Vekoma,1988,1988-04-01,28.9
Jetline,Gröna Lund,Operating,Anton Schwarzkopf,1988,1988-01-01,55.9
Ninja (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1988,1988-05-21,55.0
Raging Wolf Bobs,Geauga Lake,Removed,Dinn Corporation,1988,1988-05-28,50.0
Shockwave (Six Flags Great America),Six Flags Great America,Removed,Arrow Dynamics,1988,1988-06-03,65.0
Thunderbolt Express,Other,,Arrow Dynamics,1988,,45.0
Wipeout (roller coaster),Pleasurewood Hills,Operating,Vekoma,1988,2007-01-01,50.0
Wolverine Wildcat,Michigan's Adventure,Operating,Dinn Corporation,1988,1988-05-18,55.0
Anaconda (Walygator Parc),Walygator Parc,Operating,William Cobb,1989,1989-01-01,
Eurosat - CanCan Coaster,Europa-Park,Operating,Mack Rides,1989,1989-01-01,37.3
Excalibur (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1989,1989-01-01,54.5
Flashback (Six Flags Over Texas),Other,,Vekoma,1989,,47.0
Goudurix,Parc Astérix,Operating,Vekoma,1989,1989-01-01,55.9
Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,Removed,Arrow Dynamics,1989,1989-04-15,68.0
Hercules (roller coaster),Dorney Park & Wildwater Kingdom,Removed,Dinn Corporation,1989,1989-05-06,65.0
Magnum XL-200,Cedar Point,Operating,Arrow Dynamics,1989,1989-05-06,72.0
Ninja (Six Flags St. Louis),Other,,Vekoma,1989,,54.7
Olympia Looping,Oktoberfest,Operating,BHS,1989,1989-09-17,52.0
Timber Wolf (roller coaster),Worlds of Fun,Operating,Dinn Corporation,1989,1989-04-01,53.0
Vekoma Illusion,Bobbejaanland,Operating,Vekoma,1989,1989-06-15,31.1
Viper (Six Flags AstroWorld),Other,,Anton Schwarzkopf,1989,,47.8
Corkscrew (Silverwood),Other,,Arrow Development,1990,,46.0
Dragon (Adventureland),Adventureland (Iowa),Removed,Hopkins Rides,1990,1990-05-12,55.0
Flashback (Six Flags New England),Other,,Vekoma,1990,,47.0
Iron Wolf (roller coaster),Other,,Bolliger & Mabillard,1990,,55.0
Pikajuna,Linnanmäki,Operating,Mack Rides,1990,1990-01-01,23.0
Predator (roller coaster),Six Flags Darien Lake,Operating,Dinn Corporation,1990,1990-05-25,50.0
Texas Giant,Six Flags Over Texas,Operating,Rocky Mountain Construction,1990,2011-04-22,65.0
Thunder Looper,Other,Discontinued,Anton Schwarzkopf,1990,,
Thunder Run (Kentucky Kingdom),Kentucky Kingdom,Operating,Dinn Corporation,1990,1990-08-01,53.0
Tigre de Sibérie,Le Pal,Operating,Reverchon Industries,1990,1990-01-01,24.9
Twisted Cyclone,Six Flags Over Georgia,Operating,Rocky Mountain Construction,1990,2018-05-25,50.0
Vampire (roller coaster),Chessington World of Adventures,Operating,Arrow Dynamics,1990,1990-04-11,45.0
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1990,1990-04-07,70.0
Adventure Express,Kings Island,Operating,Arrow Dynamics,1991,1991-04-13,35.0
Afterburner (Fun Spot),Fun Spot Amusement Park & Zoo,Removed,Arrow Development,1991,1991-01-01,45.0
Anaconda (roller coaster),Kings Dominion,Operating,Arrow Dynamics,1991,1991-03-23,50.0
Pegasus (Efteling),Efteling,Removed,Dinn Corporation,1991,1991-07-01,34.2
Psyclone (roller coaster),Six Flags Magic Mountain,Removed,Dinn Corporation,1991,1991-03-23,50.0
Sidewinder (Hersheypark),Hersheypark,Operating,Vekoma,1991,1991-05-11,47.0
Steel Phantom,Kennywood,Operating,D. H. Morgan Manufacturing,1991,1991-05-10,85.0
Toboggan (Lakemont Park),Lakemont Park,Removed,Chance Rides,1991,1991-01-01,
Turbo Mountain,Adventure World,Removed,Anton Schwarzkopf,1991,1991-01-01,35.4
The Ultimate (roller coaster),Lightwater Valley,Closed,British Rail Engineering Limited,1991,1991-07-17,50.0
Vortex (Canada's Wonderland),Canada's Wonderland,Operating,Arrow Dynamics,1991,1991-05-12,55.0
Vortex (Great America),California's Great America,Operating,Bolliger & Mabillard,1991,1991-03-09,45.0
Wildcat (Frontier City),Other,,National Amusement Devices,1991,,46.0
Batman: The Ride,Other,,Bolliger & Mabillard,1992,,50.0
Blue Hawk (roller coaster),Other,,Vekoma,1992,,52.0
Cosmic Coaster (Valleyfair),Other,,Zamperla,1992,,15.0
Desert Storm (roller coaster),Castles N' Coasters,Operating,Hopkins Rides,1992,1992-01-01,
Drachen Fire,Busch Gardens Williamsburg,Removed,Arrow Dynamics,1992,1992-04-04,60.0
Dragon Coaster (Dorney Park),Other,,Zamperla,1992,,15.0
Eagle Fortress,Everland,Removed,Arrow Dynamics,1992,1992-09-08,40.0
The Great Pumpkin Coaster,"Mason, Ohio, United States",Operating,,1992,,
Jupiter (roller coaster),Kijima Kogen,Operating,Intamin,1992,1992-01-01,56.5
Kingdom Coaster,Dutch Wonderland,Operating,Custom Coasters International,1992,1992-05-16,40.0
Pepsi Orange Streak,Nickelodeon Universe,Operating,Zierer,1992,1992-08-11,40.0
Pipeline Express,Boardwalk Fun Park,Removed,"Bailey Rides, Inc.",1992,1992-07-23,15.0
The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,2013-05-25,70.0
Runaway Mine Train (Alton Towers),Alton Towers,Operating,Mack Rides,1992,1992-03-21,22.4
Sierra Tonante,Mirabilandia,Removed,S.D.C.,1992,1992-01-01,62.1
Streamliner Coaster,Six Flags Fiesta Texas,Operating,Vekoma,1992,1992-03-14,
Vortex (Carowinds),Carowinds,Operating,Bolliger & Mabillard,1992,1992-03-14,50.0
Batman The Escape,Other,,Intamin,1993,,55.0
Bocaraca,Other,,Vekoma,1993,,37.3
Canyon Blaster (Adventuredome),Adventuredome,Operating,Arrow Dynamics,1993,1993-08-23,41.0
Cosmic Coaster (Worlds of Fun),Worlds of Fun,Operating,Preston & Barbieri,1993,1993-04-03,
Flight Deck (California's Great America),California's Great America,Operating,Bolliger & Mabillard,1993,1993-03-20,50.0
Gadget's Go Coaster,Other,,Vekoma,1993,,21.7
Hundeprutterutchebane,BonBon-Land,Operating,Zierer,1993,1993-01-01,18.6
Indiana Jones et le Temple du Péril,Disneyland Park (Paris),Operating,Intamin,1993,1993-07-30,36.0
Kumba (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1993,1993-04-20,60.0
Lightning Bolt (roller coaster),MGM Grand Adventures Theme Park,Removed,Intamin,1993,1993-01-01,35.0
Outlaw (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1993,1993-04-24,48.0
Superman: Krypton Coaster (Six Flags Mexico),Other,In Production,Vekoma,1993,,
Thunderation,Silver Dollar City,Operating,Arrow Dynamics,1993,1993-04-10,48.0
Top Gun (Kings Island),Kings Island,Operating,Arrow Dynamics,1993,1993-04-09,51.0
The Comet (Great Escape),Great Escape,Operating,Philadelphia Toboggan Coasters,1994,1948-01-01,55.0
Condor (roller coaster),Walibi Holland,Operating,Vekoma,1994,1994-05-01,49.7
Corkscrew (Playland),Playland,Removed,Vekoma,1994,1994-01-01,40.0
Desperado (roller coaster),Primm Valley Resorts,Closed,Arrow Dynamics,1994,1994-08-11,80.0
Diavlo,Himeji Central Park,Operating,Bolliger & Mabillard,1994,1994-07-01,48.5
Hakugei (roller coaster),Nagashima Spa Land,Operating,Rocky Mountain Construction,1994,2019-03-28,66.5
Hoosier Hurricane,Indiana Beach,Operating,Custom Coasters International,1994,1994-05-27,51.0
Hurler (roller coaster),Other,,"International Coasters, Inc.",1994,,50.0
Nemesis (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1994,1994-03-19,50.3
Raptor (Cedar Point),Cedar Point,Operating,Bolliger & Mabillard,1994,1994-05-07,57.0
Roller Skater (roller coaster),Kentucky Kingdom,Operating,Vekoma,1994,1994-04-15,21.7
Shockwave (Drayton Manor),Drayton Manor Theme Park,Operating,Intamin,1994,1994-03-26,53.0
The Big One (roller coaster),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1994,1994-05-28,74.0
Titan (Space World),Space World,Removed,Arrow Dynamics,1994,1994-03-05,71.5
White Canyon (roller coaster),Yomiuriland,Removed,TOGO,1994,1994-04-09,52.4
Zach's Zoomer,Michigan's Adventure,Operating,Custom Coasters International,1994,1994-07-22,
Arkham Asylum – Shock Therapy,Warner Bros. Movie World,SBNO December 2019,Vekoma,1995,1995-12-26,54.7
Back at the Barnyard Hayride,Nickelodeon Universe,Operating,Zamperla,1995,1995-01-01,
The Gold Coaster,Other,,Arrow Dynamics,1995,,52.8
Cactus Coaster,Other,,Allan Herschell Company,1995,,
Cannonball Express (roller coaster),Pleasurewood Hills,Operating,Anton Schwarzkopf,1995,1995-01-01,34.0
Cannonball Run (roller coaster),Waterville USA,Removed,Custom Coasters International,1995,1995-01-01,43.0
Comet Express,Other,,,1995,,
Cyclops (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1995,1995-01-01,58.0
Dragon Khan,PortAventura Park,Operating,Bolliger & Mabillard,1995,1995-05-02,65.0
Eurostar (roller coaster),Other,,Intamin,1995,,50.2
Flight Deck (Canada's Wonderland),Canada's Wonderland,Operating,Vekoma,1995,1995-01-01,49.7
The Great Nor'easter,Morey's Piers,Operating,Vekoma,1995,1995-05-26,55.0
Jaguar!,Knott's Berry Farm,Operating,Zierer,1995,1995-06-17,35.0
The Raven (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,1995,1995-05-06,50.0
Sidewinder (Elitch Gardens),Other,,Arrow Dynamics,1995,,45.0
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,1995,2017-05-07,44.0
Space Shuttle (roller coaster),Enchanted Kingdom,Operating,Vekoma,1995,1995-07-28,47.0
T2 (roller coaster),Kentucky Kingdom,Operating,Vekoma,1995,1995-04-08,49.7
Twister II,Elitch Gardens,Operating,Hensel Phelps Construction,1995,1995-05-27,55.0
Viper (Six Flags Great Adventure),Six Flags Great Adventure,Removed,TOGO,1995,1995-06-02,48.0
Viper (Six Flags Great America),Six Flags Great America,Operating,Six Flags,1995,1995-04-29,50.0
Viper (Six Flags Over Georgia),Other,Discontinued,Anton Schwarzkopf,1995,,
Backyardigans: Mission to Mars,Movie Park Germany,Operating,Vekoma,1996,1996-06-30,21.7
The Barnstormer,Magic Kingdom,Operating,Vekoma,1996,1996-10-01,25.0
Colorado Adventure,Phantasialand,Operating,Vekoma,1996,1996-05-11,31.1
Flight of Fear,Other,,Premier Rides,1996,,54.0
Fujiyama (roller coaster),Fuji-Q Highland,Operating,TOGO,1996,1996-07-01,81.0
The Great White (Morey's Piers),Morey's Piers,Operating,Custom Coasters International,1996,1996-06-10,50.0
High Roller (Stratosphere),Stratosphere Tower,Removed,S&MC,1996,1996-04-29,30.0
Megafobia,Oakwood Theme Park,Operating,Custom Coasters International,1996,1996-04-30,48.0
Montu (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1996,1996-05-16,60.0
Pegasus (Mt. Olympus Water and Theme Park),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1996,1996-01-01,40.0
Rougarou (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,1996,2015-05-09,60.0
Runaway Mountain,"Arlington, Texas, U.S.",Operating,,1996,,
Santa Monica West Coaster,Pacific Park,Operating,D. H. Morgan Manufacturing,1996,1996-05-25,35.0
Skull Mountain,Six Flags Great Adventure,Operating,Intamin,1996,1996-06-03,33.0
The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,Operating,Vekoma,1996,1996-10-01,25.0
The Joker's Revenge,Other,,Vekoma,1996,,40.0
The Mind Eraser (Geauga Lake),Other,,Vekoma,1996,,47.0
The Walking Dead: The Ride,Thorpe Park Resort,Operating,Vekoma,1996,1996-03-23,27.7
Timber Terror,Silverwood Theme Park,Operating,Custom Coasters International,1996,1996-01-01,55.0
The Underground (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1996,1996-04-27,
Wild Thing (Valleyfair),Valleyfair,Operating,D. H. Morgan Manufacturing,1996,1996-05-11,75.0
Wildcat (Hersheypark),Hersheypark,Operating,Great Coasters International,1996,1996-05-26,50.0
Wilde maus,Other,,Mack Rides,1996,,28.0
Alpengeist,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1997,1997-03-22,67.0
Boomerang: Coast to Coaster,Other,,Vekoma,1997,,47.0
Chang (roller coaster),Other,,Bolliger & Mabillard,1997,,63.0
Euro-Mir,Europa-Park,Operating,Mack Rides,1997,1997-01-01,49.7
The Great White (SeaWorld San Antonio),SeaWorld San Antonio,Operating,Bolliger & Mabillard,1997,1997-02-01,50.0
Green Lantern (Six Flags Great Adventure),Other,,Bolliger & Mabillard,1997,,63.0
Invertigo (roller coaster),Other,In Production,Vekoma,1997,,50.0
Kiddie Coaster,Lake Compounce,Operating,Molina & Sons,1997,1997-06-27,
American Dreier Looping,Other,,Anton Schwarzkopf,1997,,53.0
Pyrenees (roller coaster),Parque Espana-Shima Spain Village,Operating,Bolliger & Mabillard,1997,1997-01-01,62.1
Road Runner Express (Six Flags Fiesta Texas),Six Flags Fiesta Texas,Operating,Arrow Dynamics,1997,1997-05-01,35.0
Big Apple Coaster,New York-New York Hotel and Casino,Operating,TOGO,1997,1997-01-03,67.0
Skytrak,Granada Studios Tour,Removed,Skytrak International,1997,1997-10-01,28.0
Stampida,Other,Operating,Custom Coasters International,1997,1997-03-17,46.0
Steel Force,Dorney Park & Wildwater Kingdom,Operating,D. H. Morgan Manufacturing,1997,1997-05-30,75.0
Superman: Escape from Krypton,Other,Operating,Intamin,1997,1997-03-15,100.0
Tonnerre de Zeus,Parc Astérix,Operating,Custom Coasters International,1997,1997-01-01,52.0
Tower of Terror II,Dreamworld,Removed,Intamin,1997,1997-01-23,100.0
Windjammer Surf Racers,Other,Removed,TOGO,1997,1997-03-26,40.0
Zeus (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1997,1997-06-07,60.0
Zoomerang (Lake Compounce),Lake Compounce,Operating,Vekoma,1997,1997-06-27,47.0
Batman & Robin: The Chiller,Other,Removed,Premier Rides,1998,1998-04-04,65.0
Blue Tornado (roller coaster),Gardaland,Operating,Vekoma,1998,1998-01-01,49.7
Doo Wopper,Morey's Piers,Operating,Zamperla,1998,1998-08-07,
Excalibur (Funtown Splashtown USA),Funtown Splashtown USA,Operating,Custom Coasters International,1998,1998-01-01,55.0
GhostRider (roller coaster),Knott's Berry Farm,Operating,Custom Coasters International,1998,1998-12-08,56.0
Great Bear (roller coaster),Hersheypark,Operating,Bolliger & Mabillard,1998,1998-05-23,58.0
Invertigo (California's Great America),Other,In Production,Vekoma,1998,,50.0
Journey to Atlantis,SeaWorld Orlando,Operating,Mack Rides,1998,1998-04-17,
Kong (roller coaster),Other,,Vekoma,1998,,49.7
Mad Cobra (roller coaster),"Suzuka, Mie Prefecture, Japan",,,1998,,
Mad Mouse (Pavilion),Myrtle Beach Pavilion,Removed,Arrow Dynamics,1998,1998-06-13,25.0
Mamba (roller coaster),Worlds of Fun,Operating,D. H. Morgan Manufacturing,1998,1998-04-18,75.0
Monte Makaya,Terra Encantada,Removed,Intamin,1998,1998-01-16,50.0
Mr. Freeze (roller coaster),Other,,Premier Rides,1998,,70.0
Oblivion (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1998,1998-03-14,68.4
Rampage (roller coaster),Alabama Splash Adventure,Operating,Custom Coasters International,1998,1998-05-23,56.0
Rattlesnake (roller coaster),Chessington World of Adventures,Operating,Maurer AG,1998,1998-01-01,28.0
The Riddler's Revenge,Six Flags Magic Mountain,Operating,Bolliger & Mabillard,1998,1998-04-04,65.0
Roar (roller coaster),Other,,Great Coasters International,1998,,50.5
Roller Coaster (Dam Sen Park),Dam Sen Cultural Park,Operating,Hebei Zhongye Metallurgical Equipment,1998,1998-01-01,43.5
Scooby's Ghoster Coaster,Kings Island,Removed,Caripro,1998,1998-04-18,8.0
Shivering Timbers,Michigan's Adventure,Operating,Custom Coasters International,1998,1998-01-01,57.0
Sprocket Rockets,Six Flags Great America,Operating,Vekoma,1998,1998-01-01,21.7
Storm Chaser (roller coaster),Kentucky Kingdom,Operating,Rocky Mountain Construction,1998,2016-04-30,52.0
Thunderhawk (Michigan's Adventure),Other,,Vekoma,1998,,49.7
Vapor Trail (roller coaster),Sesame Place,Operating,Vekoma,1998,1998-06-01,27.0
Vogel Rok,Efteling,Operating,Vekoma,1998,1998-04-09,40.0
Volcano: The Blast Coaster,Kings Dominion,Removed,Intamin,1998,1998-08-03,70.0
Wild Mouse (Lagoon),Lagoon Amusement Park,Operating,Maurer AG,1998,1998-04-10,28.0
Wilderness Run (Carowinds),Carowinds,Operating,E&F Miler Industries,1998,1998-01-01,15.0
Afterburn (roller coaster),Carowinds,Operating,Bolliger & Mabillard,1999,1999-03-20,62.0
Apollo's Chariot,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1999,1999-03-30,73.0
Bandit (Movie Park Germany),Movie Park Germany,Operating,Roller Coaster Corporation of America,1999,1999-01-01,49.7
Bizarro (roller coaster),Six Flags Great Adventure,Operating,Bolliger & Mabillard,1999,1999-04-02,61.0
Canyon Blaster (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,E&F Miler Industries,1999,1999-05-30,10.0
Dragon Challenge,Other,Removed,Bolliger & Mabillard,1999,1999-05-28,60.0
Exterminator (roller coaster),Kennywood,Operating,Reverchon Industries,1999,1999-04-18,29.1
Georgia Scorcher,Six Flags Over Georgia,Operating,Bolliger & Mabillard,1999,1999-05-08,54.0
Great Chase (Six Flags America),Six Flags America,Operating,Zamperla,1999,1999-01-01,11.0
Harley Quinn Crazy Train,Six Flags Great Adventure,Operating,Zierer,1999,1999-01-01,22.4
The Howler,Holiday World & Splashin' Safari,Operating,Zamperla,1999,1999-05-08,16.0
The Incredible Hulk Coaster,Universal's Islands of Adventure,Operating,Bolliger & Mabillard,1999,1999-05-28,67.0
Invertigo (Kings Island),Other,In Production,Vekoma,1999,,50.0
Iron Gwazi,Busch Gardens Tampa Bay,Under construction,Rocky Mountain Construction,1999,,76.0
The Joker's Jinx,Six Flags America,Operating,Premier Rides,1999,1999-05-08,60.0
Katapul,Other,Discontinued,Anton Schwarzkopf,1999,,
Lil' Devil Coaster,Six Flags Great Adventure,Operating,Zamperla,1999,1999-01-01,
Limit (roller coaster),Heide Park,Operating,Vekoma,1999,1999-01-01,49.7
Mad Mouse (Michigan's Adventure),Michigan's Adventure,Operating,Arrow Dynamics,1999,1999-08-07,33.0
Mad Mouse (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1999,1999-05-08,30.0
Millennium Roller Coaster,Fantasy Island,Operating,Vekoma,1999,1999-05-22,56.0
Montaña Rusa (Parque del Café),Other,,Anton Schwarzkopf,1999,,41.2
Montezum,Hopi Hari,Operating,Roller Coaster Corporation of America,1999,1999-01-01,64.0
Nightmare at Crack Axle Canyon,Other,,Anton Schwarzkopf,1999,,31.0
Poltergeist (roller coaster),Six Flags Fiesta Texas,Operating,Premier Rides,1999,1999-05-28,60.0
Powder Keg: A Blast into the Wilderness,Other,,S&S – Sansei Technologies,1999,,64.0
Pteranodon Flyers,"Universal Orlando Resort, Orlando, Florida, United States",,,1999,,
"Python (Coney Island, Cincinnati, Ohio)",Coney Island,Removed,Pinfari,1999,1999-01-01,
Raging Bull (roller coaster),Six Flags Great America,Operating,Bolliger & Mabillard,1999,1999-05-01,73.0
Road Runner Express (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Zamperla,1999,1999-01-01,
Rock 'n' Roller Coaster Starring Aerosmith,Other,,Vekoma,1999,,57.0
Rollie's Coaster,Morey's Piers,Operating,Pinfari,1999,1999-01-01,27.0
Silver Comet (roller coaster),Fantasy Island,Temporarily Closed,Custom Coasters International,1999,1999-05-01,50.0
Steel Eel,SeaWorld San Antonio,Operating,D. H. Morgan Manufacturing,1999,1999-03-06,65.0
Superman – Ride of Steel,Other,,Intamin,1999,,73.0
Tennessee Tornado,Dollywood,Operating,Arrow Dynamics,1999,1999-04-17,63.0
Thunderbolt (Celebration City),Other,,S&MC,1999,,34.0
Tornado (Parque de Atracciones de Madrid),Parque de Atracciones de Madrid,Operating,Intamin,1999,1999-05-23,49.7
Tremors (roller coaster),Silverwood Theme Park,Operating,Custom Coasters International,1999,1999-05-15,50.0
Twisted Typhoon,Wild Adventures,Operating,Vekoma,1999,1999-05-08,49.7
Twister (Knoebels Amusement Resort),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,1999,1999-07-24,51.0
Two Face: The Flip Side,Other,In Production,Vekoma,1999,,50.0
Wild Mouse (Hersheypark),Hersheypark,Operating,Mack Rides,1999,1999-05-08,28.0
Woodstock Express (Cedar Point),Cedar Point,Operating,Vekoma,1999,1999-05-10,25.0
Woodstock Express (Michigan's Adventure),Michigan's Adventure,Operating,Chance Rides,1999,1999-07-10,15.0
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,Operating,Vekoma,1999,1999-03-13,21.7
Batman: The Ride (Six Flags México),Six Flags Mexico,Operating,Vekoma,2000,2000-04-14,49.7
Boomerang (Worlds of Fun),Worlds of Fun,Operating,Vekoma,2000,2000-04-08,47.0
The Boss (roller coaster),Six Flags St. Louis,Operating,Custom Coasters International,2000,2000-04-29,66.3
Boulder Dash (roller coaster),Lake Compounce,Operating,Custom Coasters International,2000,2000-05-21,60.0
Catwoman's Whip,Six Flags New England,Operating,Zierer,2000,2000-05-05,22.4
Dania Beach Hurricane,Boomers!,Removed,"Coaster Works, Inc.",2000,2000-11-01,50.0
Diving Machine G5,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2000,2000-03-29,68.3
Dominator (roller coaster),Other,,Bolliger & Mabillard,2000,,65.0
Flying Dutchman Gold Mine,Other,,Mack Rides,2000,,28.0
Flying Super Saturator,Carowinds,Removed,Setpoint USA,2000,2000-04-01,30.0
Flying Unicorn,Other,,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",2000,,28.5
Ghost Chasers (roller coaster),Movie Park Germany,Operating,Mack Rides,2000,2000-01-01,28.0
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Giovanola,2000,2000-02-11,85.0
Gotham City Gauntlet: Escape from Arkham Asylum,Other,,Maurer AG,2000,,28.0
Hurricane: Category 5,Myrtle Beach Pavilion,Removed,Custom Coasters International,2000,2000-05-06,55.0
Jet Star (Luna Park),Other,,Anton Schwarzkopf,2000,,31.1
Katun (roller coaster),Mirabilandia,Operating,Bolliger & Mabillard,2000,2000-04-01,65.0
Kraken (roller coaster),SeaWorld Orlando,Operating,Bolliger & Mabillard,2000,2000-06-01,65.0
The Legend (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,2000,2000-05-06,59.0
Lightning Racer,Other,Operating,Great Coasters International,2000,2000-05-13,51.0
Linnunrata,Linnanmäki,Operating,Zierer,2000,2000-05-01,24.9
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Bolliger & Mabillard,2000,2000-03-18,65.0
Mega Zeph,Six Flags New Orleans,Closed,Custom Coasters International,2000,2000-05-20,57.0
Millennium Force,Cedar Point,Operating,Intamin,2000,2000-05-13,93.0
Muskrat Scrambler,Six Flags New Orleans,Closed,L&T Systems,2000,2000-05-20,25.0
Possessed (roller coaster),Other,,Intamin,2000,,70.0
Ravine Flyer III,Waldameer Park,Operating,E&F Miler Industries,2000,2000-01-01,
RC-48,Morey's Piers,Removed,Pinfari,2000,2000-01-01,
Road Runner Express (Six Flags Kentucky Kingdom),Other,,Maurer AG,2000,,28.0
Road Runner Express (Six Flags New Orleans),Other,,Vekoma,2000,,21.7
Road Runner Rollercoaster,Warner Bros. Movie World,,Vekoma,2000,,28.5
Roller Coaster (Papéa Parc),Other,,Zierer,2000,,22.4
Roller Coaster (Suoi Tien Park),Suoi Tien Amusement Park,Operating,Vekoma,2000,2000-01-01,43.5
